"Duration__in_seconds_";"age";"gender";"socialmedia";"utopia";"use_utopia_1";"utopia_group";"mind1_items";"mind2_items";"group.stimuli";"stimuli";"behavior_items"
"1";640;68;1;2;2;0;"nuse";5.421052632;5.4;"N";3.1;3.375
"2";391;27;1;1;2;0;"nuse";3.789473684;3.45;"N";2.2;2.375
"3";511;25;2;1;2;0;"nuse";4.578947368;4.7;"N";3.35;3
"4";541;32;1;1;2;0;"nuse";3.789473684;3.8;"N";1.95;2.75
"5";477;26;1;1;2;0;"nuse";4.631578947;4.9;"N";2.8;3.75
"6";795;27;1;1;2;0;"nuse";4.947368421;4.8;"N";1;2.75
"7";1001;25;1;1;2;0;"nuse";4.631578947;4.3;"N";1.3;3.25
"8";454;24;1;1;2;0;"nuse";4.157894737;3.7;"N";1.65;2.125
"9";655;26;2;1;1;1;"nuse";5.263157895;5.25;"N";4.65;4.625
"10";14876;29;1;1;2;0;"nuse";4.473684211;4.6;"N";2.4;2.625
"11";372;49;1;1;2;0;"nuse";2.578947368;2.6;"N";3.1;1.875
"12";802;37;1;1;2;0;"nuse";4.842105263;5;"N";3.85;3.5
"13";453;27;1;1;2;0;"nuse";5;4.9;"N";4.25;4.125
"14";693;27;1;1;2;0;"nuse";4.368421053;4.7;"N";4.1;4
"15";550;29;2;1;2;0;"nuse";3.736842105;3.55;"N";3.4;2.75
"16";802;27;1;2;2;0;"nuse";3.631578947;3.45;"N";2;2.75
"17";1197;64;2;1;2;0;"nuse";5.421052632;5.6;"N";4.4;4.125
"18";1744;28;1;1;2;0;"nuse";3.157894737;3.2;"N";2.5;2
"19";335;25;1;1;2;0;"nuse";5.315789474;5.25;"N";2.4;4.25
"20";523;41;1;1;2;0;"nuse";3.368421053;3.5;"N";3.1;2.375
"21";487;27;2;1;2;0;"nuse";4.631578947;4.65;"N";4.1;3.125
"22";853;27;2;1;2;0;"nuse";4.473684211;4.65;"N";3.55;3.375
"23";606;30;1;1;2;0;"nuse";3.842105263;3.7;"N";3.05;2.625
"24";742;25;1;1;2;0;"nuse";5.315789474;4.95;"N";4.75;4
"25";566;25;2;1;2;0;"nuse";4.473684211;4.4;"N";4.2;3.25
"26";826;20;1;1;2;0;"nuse";4.684210526;4.7;"N";3.4;4
"27";441;24;1;1;1;1;"nuse";3.842105263;3.75;"N";4.15;2.875
"28";863;29;2;1;2;0;"nuse";5.368421053;5.15;"N";4.8;3.75
"29";268;30;1;1;2;0;"nuse";3.368421053;2.95;"N";2.35;3.5
"30";449;25;2;1;2;0;"nuse";3.894736842;3.8;"N";4.35;2.625
"31";1221;31;1;1;2;0;"nuse";3.631578947;3.55;"N";3.15;2.75
"32";789;30;1;1;2;0;"nuse";5;5.05;"N";4.6;4.125
"33";531;19;2;1;2;0;"nuse";4;4.2;"N";3.5;3.5
"34";652;30;1;1;2;0;"nuse";4.789473684;4.9;"N";4.7;3.5
"35";1080;19;2;1;2;0;"nuse";5.052631579;5;"N";4.75;3.625
"36";626;62;2;1;2;0;"nuse";5.263157895;5.15;"N";4.95;4.625
"37";498;27;2;1;1;4;"use";5.947368421;5.95;"N";4.4;5.375
"38";726;30;1;1;2;0;"nuse";4.842105263;4.9;"N";2.9;4
"39";536;22;2;1;2;0;"nuse";5.105263158;5.2;"N";4.15;4.5
"40";1391;26;2;1;2;0;"nuse";4.736842105;4.55;"N";4.3;4.375
"41";401;26;2;1;1;2;"use";4.631578947;4.7;"N";2.9;4
"42";782;50;2;1;2;0;"nuse";4.894736842;4.95;"N";2.65;3.75
"43";496;30;1;1;2;0;"nuse";4.421052632;4.35;"N";4.05;3.25
"44";3534;29;1;1;2;0;"nuse";3.789473684;3.75;"N";3.75;2.375
"45";574;30;2;1;2;0;"nuse";4.631578947;4.75;"N";4.4;3.875
"46";713;28;2;1;1;1;"nuse";4.894736842;4.8;"N";4.1;3.75
